信息_链接,岗位名称,薪水,技能关键词,标签,工作经验,学历要求,工作地点,公司名称,公司信息,公司标签,其它信息,最低薪资,最高薪资,薪资单位,年薪月数,平均月薪,公司类型,公司规模,所属行业,城市,区域
http://www.zhaopin.com/jobdetail/CCL1480117890J40861618105.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,Java/C/C++/python/测试工程师,1.3-2.6万·14薪,Java Python C/C++,Java,经验不限,本科,成都·郫都·合作街道,外企德科数字技术有限公司,合资 10000人以上 软件/IT服务,魏女士·招聘专员,3小时内回复可能性大,13000.0,26000.0,万,14.0,19500.0,合资,10000人以上,软件/IT服务,成都,郫都
http://www.zhaopin.com/jobdetail/CCL1386570230J40846162110.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,python后端开发工程师,6000-10000元,Django Flask MySQL Redis Sql Shell,Django,3-5年,本科,成都·武侯·桂溪,成都一羽科技有限公司,20人以下 软件/IT服务,邢朝阳·人事经理,1小时内回复可能性大,6000.0,10000.0,元,12.0,8000.0,,20人以下,软件/IT服务,成都,武侯
http://www.zhaopin.com/jobdetail/CC430413510J40863428213.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,Python初级全栈工程师,8000-12000元,Java Shell C,Java,1-3年,本科,成都·成华·龙潭,成都开方数据科技有限公司,民营 300-499人 计算机硬件,段员·人事经理,6小时内回复可能性大,8000.0,12000.0,元,12.0,10000.0,民营,300-499人,计算机硬件,成都,成华
http://www.zhaopin.com/jobdetail/CCL1480117890J40609320905.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,Java/python/C/C++/JS前后端软件开发工程师,1.3-2.6万·14薪,JavaScript Python C++,JavaScript,经验不限,本科,成都·郫都·合作街道,外企德科数字技术有限公司,合资 10000人以上 软件/IT服务,王女士·招聘顾问,3小时内回复可能性大,13000.0,26000.0,万,14.0,19500.0,合资,10000人以上,软件/IT服务,成都,郫都
http://www.zhaopin.com/jobdetail/CC448411530J40848871511.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,后端Python开发工程师,1-1.3万,Oracle Redis,Oracle,3-5年,本科,成都·双流·东升,中电九天智能科技有限公司,国企 100-299人 产业互联网平台,万巧玲·人事主管,高回复率,10000.0,13000.0,万,12.0,11500.0,国企,100-299人,产业互联网平台,成都,双流
http://www.zhaopin.com/jobdetail/CC859088160J40815284816.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,python后端开发工程师,7000-13000元·13薪,Django Flask Sql PHP Python MySQL Redis Docker 后端开发,Django,1-3年,本科,成都·郫都·犀浦,成都四相致新科技有限公司,民营 100-299人 通信/网络设备,费女士·人事专员,高回复率,7000.0,13000.0,元,13.0,10000.0,民营,100-299人,通信/网络设备,成都,郫都
http://www.zhaopin.com/jobdetail/CCL1480117890J40773180805.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,python后端开发工程师,1.5-3万,Java,Java,经验不限,本科,成都·郫都·合作街道,外企德科数字技术有限公司,合资 10000人以上 软件/IT服务,张莹·招聘主管,今日回复50+次,15000.0,30000.0,万,12.0,22500.0,合资,10000人以上,软件/IT服务,成都,郫都
http://www.zhaopin.com/jobdetail/CC385343580J40927620715.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,Python开发工程师（设备驱动/协议对接方向）,1.5-2万,Python,Python,3-5年,本科,成都·武侯·石羊,格星微电子科技成都有限公司,民营 20-99人 计算机硬件,彭女士·人事经理,今日活跃,15000.0,20000.0,万,12.0,17500.0,民营,20-99人,计算机硬件,成都,武侯
http://www.zhaopin.com/jobdetail/CCL1480117890J40862748405.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,软件开发工程师（Java/C/C++/python/JS）,1.5-3万,C C++ Python,C,经验不限,本科,成都·郫都·合作街道,外企德科数字技术有限公司,合资 10000人以上 软件/IT服务,张先生·HR,6小时内回复可能性大,15000.0,30000.0,万,12.0,22500.0,合资,10000人以上,软件/IT服务,成都,郫都
http://www.zhaopin.com/jobdetail/CC430413510J40862825113.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,Python高级全栈工程师（兼架构）,2.5-3.5万·13薪,前端开发 后端开发 架构开发 Python MySQL Oracle Java,前端开发,5-10年,本科,成都·成华·龙潭,成都开方数据科技有限公司,民营 300-499人 计算机硬件,段员·人事经理,6小时内回复可能性大,25000.0,35000.0,万,13.0,30000.0,民营,300-499人,计算机硬件,成都,成华
